Stop ID,Stop Code,Traffic
1315,OXFOIND3,26603.0
1316,OXFOJUNI,26603.0
1317,OXFOLAR1,26603.0
1318,OXFOLAR2,26603.0
1319,OXFOLYMA,26603.0
1320,OXFOMAI1,26603.0
1321,OXFOMAI2,26603.0
1322,OXFOMORN,26603.0
1323,OXFOOAKS,26603.0
1324,OXFOOLH1,26603.0
1325,OXFOOLH2,26603.0
1326,OXFOPLAT,26603.0
1327,OXFOPRO1,26603.0
1328,OXFOPRO2,26603.0
1329,OXFOQUE1,26603.0
1330,OXFOQUE2,26603.0
1331,OXFORAT1,26603.0
1332,OXFORAT2,26603.0
1333,OXFORIC1,26603.0
1334,OXFORIC2,26603.0
1336,OXFOROE2,26603.0
1337,OXFOROY1,26603.0
1338,OXFOROY2,26603.0
1339,OXFOROY3,4389.0
1340,OXFOROY4,0.0
1341,OXFOSAN1,26603.0
1343,OXFOSEC1,26603.0
1344,OXFOSEC2,26603.0
1345,OXFOSPIT,26603.0
1346,OXFOSTE1,26603.0
1347,OXFOSTE2,26603.0
1348,OXFOSTRA,26603.0
1349,OXFOSTUA,26603.0
1350,OXFOTAL1,26603.0
1351,OXFOTAL2,26603.0
1352,OXFOTHI1,26603.0
1353,OXFOTHI2,26603.0
1354,OXFOWAT1,26603.0
1355,OXFOWAT2,26603.0
1356,OXFOWEL1,26603.0
1357,OXFOWEL2,26603.0
1358,OXFOWHA1,26603.0
1359,OXFOWHA2,26603.0
1360,OXFOWIL1,26603.0
1361,OXFOWIL2,26603.0
1362,OXFOWIST,26603.0
1363,OXFOWON1,26603.0
1364,OXFOWON2,26603.0
1371,PAGEVMPW,1750.0
1373,PARKMAEN,0.0
